State,County,Year,Month,prcp,tmax,tmin
California,Kern,1980,9,0.0,,
California,Kings,1980,9,0.0,,
California,Lake,1980,9,2.393249750137329,,
California,Lassen,1980,9,23.427419662475586,,
California,Los Angeles,1980,9,0.0,,
California,Madera,1980,9,0.9266576170921326,,
California,Marin,1980,9,0.0,,
California,Mariposa,1980,9,1.2731655836105347,,
California,Mendocino,1980,9,2.774196147918701,,
California,Merced,1980,9,0.0,,
California,Modoc,1980,9,23.861371994018555,,
California,Mono,1980,9,19.232425689697266,,
California,Monterey,1980,9,0.4163978695869446,,
California,Napa,1980,9,0.08071009814739227,,
California,Nevada,1980,9,1.1167690753936768,,
California,Orange,1980,9,0.0,,
California,Placer,1980,9,1.6501655578613281,,
California,Plumas,1980,9,7.350439071655273,,
California,Riverside,1980,9,0.23411203920841217,,
California,Sacramento,1980,9,0.0,,
California,San Benito,1980,9,0.16415663063526154,,
California,San Bernardino,1980,9,9.104430198669434,,
California,San Diego,1980,9,0.0,,
California,San Francisco,1980,9,0.0,,
California,San Joaquin,1980,9,0.0,,
California,San Luis Obispo,1980,9,0.0,,
California,San Mateo,1980,9,0.0,,
California,Santa Barbara,1980,9,0.0,,
California,Santa Clara,1980,9,0.0,,
California,Santa Cruz,1980,9,0.0,,
California,Shasta,1980,9,19.048080444335938,,
California,Sierra,1980,9,3.3728890419006348,,
California,Siskiyou,1980,9,10.921133041381836,,
California,Solano,1980,9,0.0,,
California,Sonoma,1980,9,0.78822261095047,,
California,Stanislaus,1980,9,0.0,,
California,Sutter,1980,9,0.0,,
California,Tehama,1980,9,5.733429431915283,,
California,Trinity,1980,9,7.581205368041992,,
California,Tulare,1980,9,0.14843623340129852,,
California,Tuolumne,1980,9,6.871669769287109,,
California,Ventura,1980,9,0.027766598388552666,,
California,Yolo,1980,9,0.008741199970245361,,
California,Yuba,1980,9,0.0,,
California,Alameda,1980,10,2.0491089820861816,,
California,Alpine,1980,10,22.600404739379883,,
California,Amador,1980,10,15.920801162719727,,
California,Butte,1980,10,28.08555793762207,,
California,Calaveras,1980,10,9.025490760803223,,
California,Colusa,1980,10,6.571286201477051,,
California,Contra Costa,1980,10,3.0223100185394287,,
California,Del Norte,1980,10,116.81195068359375,,
California,El Dorado,1980,10,30.16792106628418,,
California,Fresno,1980,10,5.903094291687012,,
California,Glenn,1980,10,14.807499885559082,,
California,Humboldt,1980,10,72.68484497070312,,
California,Imperial,1980,10,1.7091797590255737,,
California,Inyo,1980,10,0.449701726436615,,
California,Kern,1980,10,0.48331937193870544,,
California,Kings,1980,10,1.4907596111297607,,
California,Lake,1980,10,21.736764907836914,,
California,Lassen,1980,10,28.553316116333008,,
California,Los Angeles,1980,10,0.002178940922021866,,
California,Madera,1980,10,4.973657131195068,,
California,Marin,1980,10,13.007589340209961,,
